slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6795822](https://beaconcha.in/slot/6795822),0,Unknown,0,,,,2023-07-03 08:44:47,14
[6795844](https://beaconcha.in/slot/6795844),0,Prysm,549216,,,,2023-07-03 08:49:11,4
[6795906](https://beaconcha.in/slot/6795906),0,Prysm,1461,,,,2023-07-03 09:01:35,2
[6795950](https://beaconcha.in/slot/6795950),0,Unknown,0,,,,2023-07-03 09:10:23,14
[6795955](https://beaconcha.in/slot/6795955),0,Unknown,0,,,,2023-07-03 09:11:23,19
[6796231](https://beaconcha.in/slot/6796231),0,Unknown,0,,,,2023-07-03 10:06:35,7
[6796257](https://beaconcha.in/slot/6796257),0,Prysm,239915,,,,2023-07-03 10:11:47,1
[6796413](https://beaconcha.in/slot/6796413),0,Unknown,0,,,,2023-07-03 10:42:59,29
[6796713](https://beaconcha.in/slot/6796713),0,Unknown,0,,,,2023-07-03 11:42:59,9
[6796799](https://beaconcha.in/slot/6796799),0,Unknown,0,,,,2023-07-03 12:00:11,31
[6796837](https://beaconcha.in/slot/6796837),0,Unknown,0,,,,2023-07-03 12:07:47,5
[6796878](https://beaconcha.in/slot/6796878),0,Unknown,0,,,,2023-07-03 12:15:59,14
[6796941](https://beaconcha.in/slot/6796941),0,Unknown,0,,,,2023-07-03 12:28:35,13
[6796947](https://beaconcha.in/slot/6796947),0,Unknown,0,,,,2023-07-03 12:29:47,19
[6796950](https://beaconcha.in/slot/6796950),0,Prysm,392415,,,,2023-07-03 12:30:23,22
[6796963](https://beaconcha.in/slot/6796963),0,Unknown,0,,,,2023-07-03 12:32:59,3
[6797056](https://beaconcha.in/slot/6797056),0,Prysm,685758,,,,2023-07-03 12:51:35,0
[6797094](https://beaconcha.in/slot/6797094),0,Prysm,311242,,,,2023-07-03 12:59:11,6
[6797099](https://beaconcha.in/slot/6797099),0,Unknown,0,,,,2023-07-03 13:00:11,11
